algorithm,inputType,n,timeNs,recursionDepth,comparisons,swaps
MergeSort,Random,100,22792,4,639,0
QuickSort,Random,100,40709,4,608,306
DeterministicSelect,Random,100,80208,7,865,280
ClosestPair,Random,100,2597375,7,1337,0
MergeSort,Random,1000,442583,7,10428,0
QuickSort,Random,1000,337917,6,10689,5969
DeterministicSelect,Random,1000,209000,9,8252,2900
ClosestPair,Random,1000,4460042,10,22100,0
MergeSort,Random,5000,562333,10,59066,0
QuickSort,Random,5000,466542,8,73021,36312
DeterministicSelect,Random,5000,518958,12,48597,17106
ClosestPair,Random,5000,6983042,12,134246,0
MergeSort,Random,10000,830417,11,127956,0
QuickSort,Random,10000,460583,8,166132,86086
DeterministicSelect,Random,10000,1226500,14,99818,35196
ClosestPair,Random,10000,8605208,13,292411,0
MergeSort,Random,50000,3692125,13,773577,0
QuickSort,Random,50000,2535833,10,913417,486748
DeterministicSelect,Random,50000,1604750,16,513582,182174
ClosestPair,Random,50000,63300500,16,1698466,0
MergeSort,Sorted,100,22417,4,99,0
QuickSort,Sorted,100,6625,4,572,100
DeterministicSelect,Sorted,100,4333,7,683,263
ClosestPair,Sorted,100,32584,7,1264,0
MergeSort,Sorted,1000,29583,7,999,0
QuickSort,Sorted,1000,23250,7,11413,992
DeterministicSelect,Sorted,1000,25709,10,6994,2943
ClosestPair,Sorted,1000,191541,10,20340,0
MergeSort,Sorted,5000,50833,10,4999,0
QuickSort,Sorted,5000,88375,8,65100,4996
DeterministicSelect,Sorted,5000,108458,12,37673,15922
ClosestPair,Sorted,5000,1917625,12,122044,0
MergeSort,Sorted,10000,20417,11,9999,0
QuickSort,Sorted,10000,183167,9,151489,10024
DeterministicSelect,Sorted,10000,116042,13,72669,31100
ClosestPair,Sorted,10000,1987042,13,264092,0
MergeSort,Sorted,50000,171959,13,49999,0
QuickSort,Sorted,50000,922291,9,933634,50048
DeterministicSelect,Sorted,50000,509000,13,384522,163677
ClosestPair,Sorted,50000,10154500,16,1524012,0
MergeSort,Reverse-sorted,100,9125,4,731,0
QuickSort,Reverse-sorted,100,3083,4,649,282
DeterministicSelect,Reverse-sorted,100,2792,6,797,257
ClosestPair,Reverse-sorted,100,40584,7,1264,0
MergeSort,Reverse-sorted,1000,12750,7,10363,0
QuickSort,Reverse-sorted,1000,23958,7,11613,5788
DeterministicSelect,Reverse-sorted,1000,15792,10,9374,3183
ClosestPair,Reverse-sorted,1000,188166,10,20340,0
MergeSort,Reverse-sorted,5000,67000,10,44835,0
QuickSort,Reverse-sorted,5000,113792,8,70143,28998
DeterministicSelect,Reverse-sorted,5000,72250,12,49430,17142
ClosestPair,Reverse-sorted,5000,947041,12,122044,0
MergeSort,Reverse-sorted,10000,144916,11,94671,0
QuickSort,Reverse-sorted,10000,226792,8,155225,58234
DeterministicSelect,Reverse-sorted,10000,145625,12,100126,34821
ClosestPair,Reverse-sorted,10000,1988833,13,264092,0
MergeSort,Reverse-sorted,50000,864542,13,583503,0
QuickSort,Reverse-sorted,50000,1165375,10,939202,326552
DeterministicSelect,Reverse-sorted,50000,693125,16,505168,177068
ClosestPair,Reverse-sorted,50000,17792666,16,1524012,0
MergeSort,Duplicate-heavy,100,3417,4,651,0
QuickSort,Duplicate-heavy,100,16000,3,818,362
DeterministicSelect,Duplicate-heavy,100,4334,1,368,118
ClosestPair,Duplicate-heavy,100,660542,7,1225,0
MergeSort,Duplicate-heavy,1000,39667,7,9877,0
QuickSort,Duplicate-heavy,1000,79125,3,53340,2335
DeterministicSelect,Duplicate-heavy,1000,19375,1,3709,1216
ClosestPair,Duplicate-heavy,1000,1726916,10,19862,0
MergeSort,Duplicate-heavy,5000,235792,10,56452,0
QuickSort,Duplicate-heavy,5000,762625,3,1266903,16243
DeterministicSelect,Duplicate-heavy,5000,59500,2,19149,6232
ClosestPair,Duplicate-heavy,5000,4386375,12,119466,0
MergeSort,Duplicate-heavy,10000,273666,11,122771,0
QuickSort,Duplicate-heavy,10000,2432125,3,5039696,30827
DeterministicSelect,Duplicate-heavy,10000,113291,3,42667,13538
ClosestPair,Duplicate-heavy,10000,11007000,13,259060,0
MergeSort,Duplicate-heavy,50000,2125083,13,737537,0
QuickSort,Duplicate-heavy,50000,60422083,3,125182921,144949
DeterministicSelect,Duplicate-heavy,50000,440583,1,186481,60970
ClosestPair,Duplicate-heavy,50000,36083250,16,1499978,0
